positionOrder
9
8
13
19
9
10
12
16
14
17
17
11
9
10
16
7
13
19
11
9
18
9
12
6
8
9
21
8
8
8
14
20
15
14
11
17
6
16
6
18
8
7
16
10
7
6
20
8
17
19
7
10
14
4
19
20
7
16
11
19
10
11
9
5
7
10
8
8
12
17
12
9
11
8
8
17
10
7
19
12
6
14
20
9
19
10
14
7
11
8
11
6
8
11
19
6
15
8
15
6
12
5
6
5
10
5
19
6
20
6
12
5
6
4
5
5
13
5
8
3
14
6
10
5
13
4
9
5
9
8
13
5
13
6
8
6
20
2
15
3
18
10
19
5
17
6
12
7
15
5
7
3
5
4
6
4
6
8
5
11
7
2
8
11
6
5
6
3
10
7
6
3
8
7
6
6
7
8
3
2
13
3
14
10
20
11
20
3
9
4
18
2
18
12
20
2
13
1
20
12
18
5
13
4
17
3
10
8
12
4
3
17
19
20
13
20
5
12
3
15
4
13
4
10
6
19
12
19
5
12
5
14
8
14
5
16
5
7
6
11
8
10
8
11
14
19
5
8
3
7
1
11
6
16
13
20
3
9
4
9
6
19
6
12
14
18
3
15
11
1
11
3
20
5
12
5
18
5
20
3
9
16
17
6
18
3
15
5
9
6
14
6
12
5
14
4
9
7
18
7
20
2
16
1
19
16
18
3
19
6
15
2
11
18
5
10
7
14
9
19
12
8
9
