year,round,raceId,race_name,circuit_name,driverId,driver_name,constructorId,constructor_name,grid,position,positionOrder,milliseconds,points,status
2017,5,973,Spanish Grand Prix,Circuit de Barcelona-Catalunya,832,Carlos Sainz,5,Toro Rosso,12,7,7,\N,6.0,+1 Lap
2017,6,974,Monaco Grand Prix,Circuit de Monaco,832,Carlos Sainz,5,Toro Rosso,6,6,6,6296378,8.0,Finished
2017,7,975,Canadian Grand Prix,Circuit Gilles Villeneuve,832,Carlos Sainz,5,Toro Rosso,13,\N,20,\N,0.0,Collision
2017,8,976,Azerbaijan Grand Prix,Baku City Circuit,832,Carlos Sainz,5,Toro Rosso,15,8,8,7484973,4.0,Finished
2017,9,977,Austrian Grand Prix,Red Bull Ring,832,Carlos Sainz,5,Toro Rosso,10,\N,17,\N,0.0,Engine
2017,10,978,British Grand Prix,Silverstone Circuit,832,Carlos Sainz,5,Toro Rosso,13,\N,19,\N,0.0,Collision damage
2017,11,979,Hungarian Grand Prix,Hungaroring,832,Carlos Sainz,5,Toro Rosso,9,7,7,\N,6.0,+1 Lap
2017,12,980,Belgian Grand Prix,Circuit de Spa-Francorchamps,832,Carlos Sainz,5,Toro Rosso,13,10,10,5122267,1.0,Finished
2017,13,981,Italian Grand Prix,Autodromo Nazionale di Monza,832,Carlos Sainz,5,Toro Rosso,15,14,14,\N,0.0,+1 Lap
2017,14,982,Singapore Grand Prix,Marina Bay Street Circuit,832,Carlos Sainz,5,Toro Rosso,10,4,4,7426366,12.0,Finished
2017,15,983,Malaysian Grand Prix,Sepang International Circuit,832,Carlos Sainz,5,Toro Rosso,14,\N,19,\N,0.0,Engine
2017,16,984,Japanese Grand Prix,Suzuka Circuit,832,Carlos Sainz,5,Toro Rosso,19,\N,20,\N,0.0,Accident
2017,17,985,United States Grand Prix,Circuit of the Americas,832,Carlos Sainz,4,Renault,7,7,7,5723935,6.0,Finished
2017,18,986,Mexican Grand Prix,Autódromo Hermanos Rodríguez,832,Carlos Sainz,4,Renault,8,\N,16,\N,0.0,Engine
2017,19,987,Brazilian Grand Prix,Autódromo José Carlos Pace,832,Carlos Sainz,4,Renault,8,11,11,\N,0.0,+1 Lap
2017,20,988,Abu Dhabi Grand Prix,Yas Marina Circuit,832,Carlos Sainz,4,Renault,12,\N,19,\N,0.0,Wheel
2018,1,989,Australian Grand Prix,Albert Park Grand Prix Circuit,832,Carlos Sainz,4,Renault,9,10,10,5419005,1.0,Finished
2018,2,990,Bahrain Grand Prix,Bahrain International Circuit,832,Carlos Sainz,4,Renault,10,11,11,\N,0.0,+1 Lap
2018,3,991,Chinese Grand Prix,Shanghai International Circuit,832,Carlos Sainz,4,Renault,9,9,9,5772143,2.0,Finished
2018,4,992,Azerbaijan Grand Prix,Baku City Circuit,832,Carlos Sainz,4,Renault,9,5,5,6231806,10.0,Finished
2018,5,993,Spanish Grand Prix,Circuit de Barcelona-Catalunya,832,Carlos Sainz,4,Renault,9,7,7,\N,6.0,+1 Lap
2018,6,994,Monaco Grand Prix,Circuit de Monaco,832,Carlos Sainz,4,Renault,8,10,10,6243820,1.0,Finished
2018,7,995,Canadian Grand Prix,Circuit Gilles Villeneuve,832,Carlos Sainz,4,Renault,9,8,8,\N,4.0,+1 Lap
2018,8,996,French Grand Prix,Circuit Paul Ricard,832,Carlos Sainz,4,Renault,7,8,8,5498569,4.0,Finished
2018,9,997,Austrian Grand Prix,Red Bull Ring,832,Carlos Sainz,4,Renault,9,12,12,\N,0.0,+1 Lap
2018,10,998,British Grand Prix,Silverstone Circuit,832,Carlos Sainz,4,Renault,16,\N,17,\N,0.0,Collision
2018,11,999,German Grand Prix,Hockenheimring,832,Carlos Sainz,4,Renault,8,12,12,5592914,0.0,Finished
2018,12,1000,Hungarian Grand Prix,Hungaroring,832,Carlos Sainz,4,Renault,5,9,9,\N,2.0,+1 Lap
2018,13,1001,Belgian Grand Prix,Circuit de Spa-Francorchamps,832,Carlos Sainz,4,Renault,14,11,11,\N,0.0,+1 Lap
2018,14,1002,Italian Grand Prix,Autodromo Nazionale di Monza,832,Carlos Sainz,4,Renault,7,8,8,4692624,4.0,Finished
2018,15,1003,Singapore Grand Prix,Marina Bay Street Circuit,832,Carlos Sainz,4,Renault,12,8,8,\N,4.0,+1 Lap
2018,16,1004,Russian Grand Prix,Sochi Autodrom,832,Carlos Sainz,4,Renault,11,17,17,\N,0.0,+2 Laps
2018,17,1005,Japanese Grand Prix,Suzuka Circuit,832,Carlos Sainz,4,Renault,13,10,10,\N,1.0,+1 Lap
2018,18,1006,United States Grand Prix,Circuit of the Americas,832,Carlos Sainz,4,Renault,11,7,7,5753637,6.0,Finished
2018,19,1007,Mexican Grand Prix,Autódromo Hermanos Rodríguez,832,Carlos Sainz,4,Renault,8,\N,19,\N,0.0,Suspension
2018,20,1008,Brazilian Grand Prix,Autódromo José Carlos Pace,832,Carlos Sainz,4,Renault,15,12,12,\N,0.0,+1 Lap
2018,21,1009,Abu Dhabi Grand Prix,Yas Marina Circuit,832,Carlos Sainz,4,Renault,11,6,6,6052930,8.0,Finished
2019,1,1010,Australian Grand Prix,Albert Park Grand Prix Circuit,848,Alexander Albon,5,Toro Rosso,13,14,14,\N,0.0,+1 Lap
2019,1,1010,Australian Grand Prix,Albert Park Grand Prix Circuit,832,Carlos Sainz,1,McLaren,18,\N,20,\N,0.0,Engine
2019,2,1011,Bahrain Grand Prix,Bahrain International Circuit,848,Alexander Albon,5,Toro Rosso,12,9,9,5723992,2.0,Finished
2019,2,1011,Bahrain Grand Prix,Bahrain International Circuit,832,Carlos Sainz,1,McLaren,7,\N,19,\N,0.0,Collision damage
2019,3,1012,Chinese Grand Prix,Shanghai International Circuit,848,Alexander Albon,5,Toro Rosso,0,10,10,\N,1.0,+1 Lap
2019,3,1012,Chinese Grand Prix,Shanghai International Circuit,832,Carlos Sainz,1,McLaren,14,14,14,\N,0.0,+1 Lap
2019,4,1013,Azerbaijan Grand Prix,Baku City Circuit,832,Carlos Sainz,1,McLaren,9,7,7,5596768,6.0,Finished
2019,4,1013,Azerbaijan Grand Prix,Baku City Circuit,848,Alexander Albon,5,Toro Rosso,11,11,11,\N,0.0,+1 Lap
2019,5,1014,Spanish Grand Prix,Circuit de Barcelona-Catalunya,832,Carlos Sainz,1,McLaren,12,8,8,5782785,4.0,Finished
2019,5,1014,Spanish Grand Prix,Circuit de Barcelona-Catalunya,848,Alexander Albon,5,Toro Rosso,11,11,11,5785888,0.0,Finished
2019,6,1015,Monaco Grand Prix,Circuit de Monaco,832,Carlos Sainz,1,McLaren,9,6,6,6261891,8.0,Finished
2019,6,1015,Monaco Grand Prix,Circuit de Monaco,848,Alexander Albon,5,Toro Rosso,10,8,8,6263637,4.0,Finished
2019,7,1016,Canadian Grand Prix,Circuit Gilles Villeneuve,832,Carlos Sainz,1,McLaren,11,11,11,\N,0.0,+1 Lap
2019,7,1016,Canadian Grand Prix,Circuit Gilles Villeneuve,848,Alexander Albon,5,Toro Rosso,13,\N,19,\N,0.0,Collision damage
2019,8,1017,French Grand Prix,Circuit Paul Ricard,832,Carlos Sainz,1,McLaren,6,6,6,5166660,8.0,Finished
2019,8,1017,French Grand Prix,Circuit Paul Ricard,848,Alexander Albon,5,Toro Rosso,11,15,15,\N,0.0,+1 Lap
2019,9,1018,Austrian Grand Prix,Red Bull Ring,832,Carlos Sainz,1,McLaren,19,8,8,\N,4.0,+1 Lap
2019,9,1018,Austrian Grand Prix,Red Bull Ring,848,Alexander Albon,5,Toro Rosso,18,15,15,\N,0.0,+1 Lap
2019,10,1019,British Grand Prix,Silverstone Circuit,832,Carlos Sainz,1,McLaren,13,6,6,4922091,8.0,Finished
2019,10,1019,British Grand Prix,Silverstone Circuit,848,Alexander Albon,5,Toro Rosso,9,12,12,4944069,0.0,Finished
2019,11,1020,German Grand Prix,Hockenheimring,832,Carlos Sainz,1,McLaren,7,5,5,6280858,10.0,Finished
2019,11,1020,German Grand Prix,Hockenheimring,848,Alexander Albon,5,Toro Rosso,16,6,6,6281327,8.0,Finished
2019,12,1021,Hungarian Grand Prix,Hungaroring,832,Carlos Sainz,1,McLaren,8,5,5,\N,10.0,+1 Lap
