year,raceId,driverId,constructorId,grid,position,milliseconds
2020,1045,832,1,15,5.0,10799302.0
2020,1046,832,1,8,4.0,5487694.0
2020,1046,848,9,12,6.0,5488956.0
2020,1047,848,9,5,4.0,5808632.0
2020,1047,832,1,6,6.0,5854307.0
2021,1052,832,6,8,8.0,5590997.0
2021,1053,832,6,11,5.0,7381634.0
2021,1054,832,6,5,11.0,5750376.0
2021,1055,832,6,6,7.0,5662350.0
2021,1056,832,6,4,2.0,5945788.0
2021,1057,832,6,5,8.0,8024119.0
2021,1059,832,6,5,11.0,5345107.0
2021,1058,832,6,12,6.0,
2021,1060,832,6,10,5.0,5091687.0
2021,1061,832,6,10,6.0,7146738.0
2021,1062,832,6,15,3.0,7498217.0
2021,1063,832,6,11,10.0,223237.0
2021,1064,832,6,6,7.0,
2021,1065,832,6,6,6.0,4924900.0
2021,1066,832,6,2,3.0,5503476.0
2021,1067,832,6,19,8.0,5515629.0
2021,1069,832,6,5,7.0,5760097.0
2021,1070,832,6,6,6.0,
2021,1071,832,6,3,6.0,5594671.0
2021,1051,832,6,5,7.0,5150382.0
2021,1072,832,6,15,8.0,7621724.0
2021,1073,832,6,5,3.0,5422518.0
2022,1074,832,6,3,2.0,5859182.0
2022,1074,848,3,14,13.0,5907516.0
2022,1075,832,6,3,3.0,5067390.0
2022,1075,848,3,16,14.0,
2022,1076,848,3,20,10.0,5345930.0
2022,1076,832,6,9,,
2022,1077,848,3,18,11.0,
2022,1077,832,6,4,,
2022,1078,832,6,2,3.0,5672487.0
2022,1078,848,3,18,9.0,5696623.0
2022,1079,832,6,3,4.0,5885683.0
2022,1079,848,3,18,18.0,
2022,1080,832,6,2,2.0,6991419.0
2022,1080,848,3,16,,
2022,1081,848,3,17,12.0,
2022,1081,832,6,4,,
2022,1082,832,6,3,2.0,5782750.0
2022,1082,848,3,12,13.0,5826650.0
2022,1083,832,6,1,1.0,8270311.0
2022,1083,848,3,16,,
2022,1084,848,3,15,12.0,
2022,1084,832,6,3,,
2022,1085,832,6,19,5.0,5430984.0
2022,1085,848,3,13,13.0,5470677.0
2022,1086,832,6,2,4.0,5990491.0
2022,1086,848,3,17,17.0,
2022,1087,832,6,1,3.0,5179780.0
2022,1087,848,3,6,10.0,5254794.0
2022,1088,832,6,3,8.0,5823689.0
2022,1088,848,3,15,12.0,5833163.0
2022,1089,832,6,18,4.0,4832572.0
2022,1091,832,6,4,3.0,7350543.0
2022,1091,848,3,18,,
2022,1092,832,6,3,,
2022,1092,848,3,16,,
2022,1093,848,3,8,13.0,6211744.0
2022,1093,832,6,1,,
2022,1094,832,6,5,5.0,5974852.0
2022,1094,848,3,17,12.0,
2022,1095,832,6,7,3.0,5918095.0
2022,1095,848,3,19,15.0,5950060.0
2022,1096,832,6,4,4.0,5290806.0
2022,1096,848,3,19,13.0,
